,NAME,B07011_001E,state,county,tract,tractid,quantile_category
32,"Census Tract 1401.07, Suffolk County, Massachusetts",36422,25,025,140107,25025140107,3
33,"Census Tract 1601.01, Suffolk County, Massachusetts",22418,25,025,160101,25025160101,1
34,"Census Tract 1605.01, Suffolk County, Massachusetts",22894,25,025,160501,25025160501,1
35,"Census Tract 1605.02, Suffolk County, Massachusetts",29735,25,025,160502,25025160502,2
36,"Census Tract 1606.01, Suffolk County, Massachusetts",26317,25,025,160601,25025160601,1
37,"Census Tract 1606.02, Suffolk County, Massachusetts",30576,25,025,160602,25025160602,2
38,"Census Tract 1705.01, Suffolk County, Massachusetts",27415,25,025,170501,25025170501,2
39,"Census Tract 1705.02, Suffolk County, Massachusetts",27052,25,025,170502,25025170502,1
40,"Census Tract 1706.01, Suffolk County, Massachusetts",31330,25,025,170601,25025170601,2
41,"Census Tract 1707.01, Suffolk County, Massachusetts",24449,25,025,170701,25025170701,1
