PLACEKEY,DATE_RANGE_END,DATE_RANGE_START,population,income,poverty_ratio,female_ratio,white_ratio,black_ratio,asian_ratio,walk_work,transit_work,drive_work,date_xh,income_seg,race_seg
222-222@62j-sgg-gkz,2022-06-27 00:00:00.000,2022-06-20 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2022-06-20,1.0,1.0
222-222@62j-sgg-gkz,2022-07-04 00:00:00.000,2022-06-27 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2022-06-27,,
222-222@62j-sgg-gkz,2022-08-22 00:00:00.000,2022-08-15 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2022-08-15,1.0,1.0
222-222@62j-sgg-gkz,2022-09-05 00:00:00.000,2022-08-29 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2022-08-29,1.0,1.0
222-222@62j-sgg-gkz,2023-01-09 00:00:00.000,2023-01-02 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-01-02,0.5555555555555556,0.5555555555555556
222-222@62j-sgg-gkz,2023-01-16 00:00:00.000,2023-01-09 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-01-09,0.3333333333333333,0.6666666666666666
222-222@62j-sgg-gkz,2023-01-23 00:00:00.000,2023-01-16 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-01-16,1.0,1.0
222-222@62j-sgg-gkz,2023-01-30 00:00:00.000,2023-01-23 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-01-23,0.6666666666666666,1.0
222-222@62j-sgg-gkz,2023-02-06 00:00:00.000,2023-01-30 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-01-30,0.6666666666666666,0.6666666666666666
222-222@62j-sgg-gkz,2023-03-06 00:00:00.000,2023-02-27 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-03-01,0.4000000000000001,0.7333333333333334
222-222@62j-sgg-gkz,2023-03-13 00:00:00.000,2023-03-06 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-03-06,0.6666666666666666,1.0
222-222@62j-sgg-gkz,2023-03-20 00:00:00.000,2023-03-13 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-03-13,1.0,1.0
222-222@62j-sgg-gkz,2023-03-27 00:00:00.000,2023-03-20 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-03-20,0.6666666666666666,0.3333333333333333
222-222@62j-sgg-gkz,2023-04-03 00:00:00.000,2023-03-27 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-03-27,0.6666666666666666,0.3333333333333333
222-222@62j-sgg-gkz,2023-08-07 00:00:00.000,2023-07-31 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-08-01,0.6666666666666666,0.3333333333333333
222-222@62j-sgg-gkz,2023-08-14 00:00:00.000,2023-08-07 00:00:00.000,5131,37.132,0.1675517790759426,0.4780744494250633,0.6443188462288053,0.0884817774312999,0.1999610212434223,0.331225534477567,0.2613670581150256,0.2547425474254742,2023-08-07,1.0,1.0
222-222@62j-sgg-kfz,2022-06-06 00:00:00.000,2022-05-30 00:00:00.000,2977,41.742,0.1273093718508565,0.4843802485723883,0.5162915686933154,0.2593214645616392,0.1121934833725226,0.2064,0.3968,0.1669333333333333,2022-06-01,1.0,1.0
